ioc_type,value,protocol,source,destination,malware_stage,confidence,description,wireshark_filter
IP,10.7.10.47,Multiple,10.7.10.47,Multiple,Victim_HOST,HIGH,"Infected workstation - DESKTOP-9PEA63H","ip.addr == 10.7.10.47"
IP,10.7.10.9,Multiple,10.7.10.47,10.7.10.9,Infrastructure,HIGH,"Domain Controller - WIN-S3WT6LGQFVX.coolweathercoat.com","ip.addr == 10.7.10.9"
IP,80.77.24.175,HTTP,10.7.10.47,80.77.24.175,Initial_Delivery,HIGH,"Initial redirector serving /main.php","ip.dst == 80.77.24.175"
IP,192.153.57.223,HTTP,10.7.10.47,192.153.57.223,IcedID_Loader,HIGH,"IcedID loader C2","ip.dst == 192.153.57.223"
IP,104.168.53.18,HTTPS,10.7.10.47,104.168.53.18,C2_HTTPS,HIGH,"IcedID HTTPS C2","ip.dst == 104.168.53.18"
IP,217.199.121.56,HTTPS,10.7.10.47,217.199.121.56,C2_HTTPS,HIGH,"IcedID HTTPS C2","ip.dst == 217.199.121.56"
IP,194.26.135.119,TCP,10.7.10.47,194.26.135.119,C2_Custom,HIGH,"Custom TCP C2 on port 12432","tcp.port == 12432"
Domain,firebasestorage.googleapis.com,HTTPS,10.7.10.47,firebasestorage.googleapis.com,Payload_Hosting,HIGH,"Google Firebase hosting Scan_Inv.zip","dns.qry.name contains firebasestorage.googleapis.com"
Domain,skigimeetroc.com,HTTP,10.7.10.47,skigimeetroc.com,C2_Loader,HIGH,"Loader C2 domain","dns.qry.name contains skigimeetroc.com"
Domain,askamoshopsi.com,HTTPS,10.7.10.47,askamoshopsi.com,C2_HTTPS,HIGH,"HTTPS C2 domain","dns.qry.name contains askamoshopsi.com"
Domain,skansnekssky.com,HTTPS,10.7.10.47,skansnekssky.com,C2_HTTPS,HIGH,"HTTPS C2 domain","dns.qry.name contains skansnekssky.com"
Domain,623start.site,HTTP,10.7.10.47,623start.site,PowerShell_Checkin,HIGH,"PowerShell check-in domain","dns.qry.name contains 623start.site"
Domain,guiatelefonos.com,HTTP,10.7.10.47,guiatelefonos.com,Payload_Hosting,HIGH,"Payload download host","dns.qry.name contains guiatelefonos.com"
Hostname,DESKTOP-9PEA63H,NBNS,10.7.10.47,10.7.10.255,Discovery,MEDIUM,"NBNS workstation registration","nbns"
Protocol,"LDAP SASL Bind",LDAP,10.7.10.47,10.7.10.9,Reconnaissance,HIGH,"Authenticated LDAP bind using GSS-SPNEGO","ldap contains GSS-SPNEGO"
Protocol,"SMB2 Session Setup",SMB2,10.7.10.47,10.7.10.9,Lateral_Movement_Prep,MEDIUM,"SMB authentication negotiation","smb2.cmd == 1"
Protocol,"DRSUAPI Interface Bind",DCE/RPC,10.7.10.47,10.7.10.9,Credential_Access,HIGH,"DCSync preparation activity","dcerpc && frame contains DRSUAPI"
Kerberos,PREAUTH_REQUIRED,Kerberos,10.7.10.9,10.7.10.47,Authentication,MEDIUM,"Kerberos pre-authentication challenge","kerberos.error_code == 25"
Filename,Scan_Inv.zip,HTTP,Multiple,10.7.10.47,Initial_Delivery,HIGH,"IcedID installer archive","frame contains Scan_Inv.zip"
JA3,a0e9f5d64349fb13191bc781f81f42e1,TLS,10.7.10.47,Multiple,C2_Encryption,MEDIUM,"IcedID TLS fingerprint","tls.handshake.ja3 == a0e9f5d64349fb13191bc781f81f42e1"
